N,P,K,temperature,humidity,ph,Annual Rainfall,Recommended Crop
60,9.156,40,20.022968,88,6,1104,Coffee
27,9.156,41,21.12746,82,5.3,1014,Pigeonpeas
69,27,40,20.179024,60,6.8,1476,Rice
0,9.156,42,20.433125,82,5.13,1104,Coffee
46,18,40,20.14289,72,5.7,1476,Rice
69,27,50,20.669844,77,5.4,1670,Rice
14,9.156,40,19.476093,67,7,1025,Pigeonpeas
69,27,40,20.25539,72,5.3,1476,Rice
69,27,40,20.16047,63,5.6,1476,Rice
46,18,40,19.690742,56,6.3,1476,Rice
46,18,40,20.403633,60,5.8,1476,Rice
46,18,40,19.788399,67,5.5,1670,Rice
27,9.156,41,21.03879,82,6.3,996,Pigeonpeas
46,18,40,20.231953,68,5.5,1670,Rice
27,9.156,41,21.063984,76,6.3,1014,Pigeonpeas
27,9.156,41,21.028828,63,6.3,996,Pigeonpeas
69,27,40,20.926874,72,5,1476,Rice
46,18,57,20.305195,67,6.3,1476,Rice
46,18,40,20.629805,63,5.4,1476,Rice
69,27,62,20.28879,52,5.3,1476,Rice
69,27,51,19.86535,72,5.5,1476,Rice
46,18,40,20.213594,68,6.8,1476,Rice
60,9.156,40,19.46203,77,6,1104,Coffee
24,9.156,42,20.4591,88,5,1025,Pigeonpeas
60,9.156,59,19.646406,52,6,1025,Pigeonpeas
46,18,40,19.73,60,6.1,1476,Rice
69,27,40,20.328829,82,5.8,1670,Rice
46,18,40,20.974922,77,5,1670,Rice
24,9.156,41,21.084492,88,6.2,996,Pigeonpeas
69,27,40,19.753046,63,6.1,1670,Rice
46,18,40,19.807734,72,5.5,1476,Rice
69,27,40,20.888985,72,5,1543,Rice
69,27,40,20.198359,68,6.8,1476,Rice
69,27,40,20.165352,68,5.6,1670,Rice
46,18,53,20.326094,77,6.2,1479,Rice
0,9.156,42,20.40832,82,5.11,1104,Coffee
69,27,51,20.18586,67,5.9,1670,Rice
69,27,63,20.28254,52,5.3,1821,Rice
14,9.156,40,19.492304,82,7,1104,Coffee
69,27,40,20.190546,68,6.8,1670,Rice
69,27,52,20.79172,72,5.4,1670,Rice
27,9.156,41,21.144844,82,5.3,1014,Pigeonpeas
60,9.156,40,19.455782,77,6,1104,Coffee
46,18,40,20.228046,72,5.5,1670,Rice
